entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2022-05-16 11:00:00-04:00,2022-05-16 11:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,297.59,299.07794999999993,-0.499999999999985,-0.5397960199999718,3,bias_change,stop_loss,2.0,126655.05620626074
2022-05-16 12:00:00-04:00,2022-05-16 12:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,300.49,298.98755,-0.5000000000000034,-0.539796019999983,2,bias_change,stop_loss,2.0,125971.37725373059
2022-05-16 15:30:00-04:00,2022-05-16 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,299.35,298.55,0.26724569901453527,0.227142811424752,2,bias_change,session_close,2.0,126257.5121816152
2022-05-17 11:00:00-04:00,2022-05-17 11:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,301.37,302.87685,-0.49999999999999534,-0.5397960200000052,2,bias_change,stop_loss,2.0,125575.97915590781
2022-05-17 11:45:00-04:00,2022-05-17 14:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,303.88,302.3606,-0.5000000000000062,-0.5397960200000163,11,bias_change,stop_loss,2.0,124898.12501834818
2022-05-17 14:30:00-04:00,2022-05-17 14:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,302.7205,304.2341025,-0.4999999999999968,-0.539796019999983,1,bias_change,stop_loss,2.0,124223.92991044452
2022-05-17 15:00:00-04:00,2022-05-17 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,305.08,306.25,0.38350596564835976,0.3433565786023385,4,bias_change,session_close,2.0,124650.46094599039
2022-05-18 10:00:00-04:00,2022-05-18 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,299.84,291.09,2.9182230522945574,2.877059879802557,24,bias_change,session_close,2.0,128236.72934785644
2022-05-19 12:00:00-04:00,2022-05-19 12:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,293.27,291.80365,-0.49999999999999223,-0.539796019999983,3,bias_change,stop_loss,2.0,127544.51258665856
2022-05-19 13:00:00-04:00,2022-05-19 14:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,290.88,292.33439999999996,-0.4999999999999877,-0.539796019999983,7,bias_change,stop_loss,2.0,126856.0323839874
2022-05-19 15:45:00-04:00,2022-05-19 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,290.7,289.6,0.3783969728242057,0.33824962917095025,1,bias_change,session_close,2.0,127285.12244310723
2022-05-20 10:30:00-04:00,2022-05-20 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,291.24,288.54,0.9270704573547551,0.8867036662546512,22,bias_change,session_close,2.0,128413.76429040698
2022-05-23 09:45:00-04:00,2022-05-23 09:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,290.5,289.0475,-0.49999999999999534,-0.539796019999983,1,bias_change,stop_loss,2.0,127720.5919016352
2022-05-23 10:00:00-04:00,2022-05-23 10:00:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,289.03,287.58484999999996,-0.5000000000000043,-0.539796019999994,1,stop_reentry,stop_loss,2.0,127031.16122982974
