timeframe_min,timeframe_label,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bar_count
15,15m,1.5,0.75,160392.3232431987,60.39232324319872,10.035072485208275,15.254337509034531,0.8955903014327383,1.1175496779747747,1622,842,51.911220715166465,753,869,1245,0.031241094857289025,9.435265104808877,141.52897657213316,43.55885078776645,984,1195,32370
10,10m,0.5,0.25,159372.6993536449,59.37269935364489,9.893126679403785,6.4801204080568775,1.197653070432297,1.1173625342104632,2843,1868,65.7052409426662,1312,1531,1245,0.01693143227054635,4.529370383397819,45.29370383397819,20.959736381423127,1442,1702,48555
5,5m,0.75,1.0,159238.54910973174,59.23854910973174,9.874397226512777,18.243797860933807,0.7270437739744811,1.0671479146383085,3643,1542,42.327751852868516,1747,1896,1245,0.014221772172385476,19.427395004117486,97.13697502058743,71.01328390485017,2932,3500,97110
3,3m,2.0,4.0,159163.8542776342,59.1638542776342,9.863963215401839,17.830219490515063,0.6623660263252518,1.0579212989938103,5141,2156,41.93736627115347,2526,2615,1245,0.010296120784896745,27.781560007780588,83.34468002334177,87.50942230460302,5077,5764,161850
3,3m,1.5,3.0,159127.16251994402,59.12716251994401,9.858836367300627,17.339877693552786,0.6635439079552485,1.0577722538925618,5149,2157,41.89162944261022,2529,2620,1245,0.010279042760734117,27.73431734317343,83.20295202952029,87.48841519925857,5077,5764,161850
15,15m,1.0,0.75,158876.17880090018,58.87617880090017,9.823741729905787,17.877928139200115,0.8974948240538446,1.1155358693724442,1634,838,51.28518971848225,754,880,1245,0.030292200788212098,9.149938800489597,137.24908200734396,42.15940685820204,984,1195,32370
3,3m,1.0,1.5,158462.66219060775,58.46266219060774,9.765823823804865,18.213680130109122,0.6654396130784246,1.055362781298341,5280,2204,41.74242424242424,2588,2692,1245,0.009934971968852098,26.737310606060607,80.21193181818182,86.34476367006488,5077,5764,161850
15,15m,2.0,1.0,157672.25313976587,57.67225313976587,9.654781406713075,16.916806446485012,0.8279847162982829,1.1174790894926476,1513,750,49.5703899537343,717,796,1245,0.03259624613664015,10.729676140118968,160.94514210178454,46.8952734012975,984,1195,32370
3,3m,2.0,3.0,156952.04770696285,56.95204770696285,9.553214450416082,18.176936831031977,0.6446109019754569,1.056215318406523,5149,2157,41.89162944261022,2529,2620,1245,0.010016771008954421,27.735094193047193,83.20528257914158,87.49335804757492,5077,5764,161850
5,5m,1.0,1.0,156415.0216955576,56.41502169555761,9.477238163810986,19.419972853866675,0.6877725370784266,1.0648174866707083,3612,1544,42.74640088593577,1735,1877,1245,0.013897037355041294,20.014950166112957,100.07475083056478,72.75975697662444,2932,3500,97110
