entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2021-09-13 10:00:00-04:00,2021-09-13 15:30:00-04:00,active,long,376.535,376.36,-0.04647642317447551,-0.0864538344642729,12,bullish_fvg_active,session_close,2.0,89503.52987253996
2021-09-14 10:00:00-04:00,2021-09-14 15:30:00-04:00,active,long,376.38,375.18,-0.31882671767893844,-0.3586951997449406,12,bullish_fvg_active,session_close,2.0,89182.48500728488
2021-09-15 10:00:00-04:00,2021-09-15 15:30:00-04:00,active,long,374.5528,378.01,0.92302073299145,0.8826555616190834,12,bullish_fvg_active,session_close,2.0,89969.65917119179
2021-09-16 10:00:00-04:00,2021-09-16 15:30:00-04:00,active,long,375.89,378.34,0.6517864268802013,0.6115297383809004,12,bullish_fvg_active,session_close,2.0,90519.85039254357
2021-09-17 10:00:00-04:00,2021-09-17 10:30:00-04:00,active,long,375.81,375.45,-0.09579308693223001,-0.1357507735291752,1,bullish_fvg_active,reverse_open,2.0,90396.96899543823
2021-09-17 10:30:00-04:00,2021-09-17 15:30:00-04:00,active,short,375.45,373.82,0.43414569183646173,0.39397605092557075,11,bearish_fvg_active,session_close,2.0,90753.11140404287
2021-09-20 10:00:00-04:00,2021-09-20 15:30:00-04:00,active,short,368.17,365.82,0.6382920933264585,0.5980408020208161,12,bearish_fvg_active,session_close,2.0,91295.85203934244
2021-09-21 10:00:00-04:00,2021-09-21 15:30:00-04:00,active,long,367.25,366.02,-0.33492171545269384,-0.37478376016337744,12,bullish_fvg_active,session_close,2.0,90953.6900121962
2021-09-22 10:00:00-04:00,2021-09-22 15:30:00-04:00,active,long,367.46,369.55,0.5687693898655724,0.528545904860378,12,bullish_fvg_active,session_close,2.0,91434.42201607507
2021-09-23 10:00:00-04:00,2021-09-23 15:30:00-04:00,active,long,372.3567,372.91,0.14859407659377036,0.10853864490689702,12,bullish_fvg_active,session_close,2.0,91533.66369870977
